date and time,kwh/kwp,system size kWp,area m^2,STC Eff
01/01/2018 0:00,7,4.86,35.37,13.7
01/02/2018 0:00,26,4.86,35.37,13.7
01/03/2018 0:00,44,4.86,35.37,13.7
01/04/2018 0:00,57,4.86,35.37,13.7
01/05/2018 0:00,125,4.86,35.37,13.7
01/06/2018 0:00,94,4.86,35.37,13.7
01/07/2018 0:00,70,4.86,35.37,13.7
01/08/2018 0:00,76,4.86,35.37,13.7
01/09/2018 0:00,46,4.86,35.37,13.7
01/10/2018 0:00,23,4.86,35.37,13.7
01/11/2018 0:00,12,4.86,35.37,13.7
01/12/2018 0:00,4,4.86,35.37,13.7
